YEAR,DMCODE,New_DIST,NEW_MANDAL,June,July,August,September,Rainy Day,No Rain,Very Light,Light,Moderate,Heavy,Very Heavy,Extremely Heavy
2017,101,Adilabad,Bheempoor,133,140.3,157.5,75.3,37,66,18,27,10,0,0,0
2017,102,Adilabad,Jainad,268.2,176.05,213.7,165.9,42,50,30,21,19,2,0,0
2017,103,Adilabad,Bela,222.7,185.95,232.6,99.3,43,57,22,27,15,1,0,0
2017,104,Adilabad,Gadiguda,242.3,192,370.1,123.1,48,59,15,31,17,0,0,0
2017,105,Adilabad,Narnoor,160.4,161.35,299.95,158.15,46,53,23,24,22,0,0,0
2017,106,Adilabad,Inderavelly,363.1,133.45,274.25,155.75,51,50,21,35,13,3,0,0
2017,107,Adilabad,Gudihathnur,258.15,130.4,289.45,145.3,44,50,28,25,19,0,0,0
2017,108,Adilabad,Adilabad Rural,369.3,164.7,286.8,145.5,45,53,24,21,24,0,0,0
2017,109,Adilabad,Adilabad Urban,322.7,149.25,201.6,178.36,45,56,21,27,17,1,0,0
2017,110,Adilabad,Mavala,298.8,139.4,168.3,180.1,41,66,15,25,14,2,0,0
2017,111,Adilabad,Tamsi,351.8,139.75,166.6,129.15,43,58,21,24,18,1,0,0
2017,112,Adilabad,Talamadugu,314.65,133.5,202.65,123,40,66,16,22,18,0,0,0
2017,113,Adilabad,Bazarhathnoor,238.25,187.9,335,167,47,47,28,24,21,2,0,0
2017,114,Adilabad,Boath,441.95,112.85,287.3,144.85,45,52,25,27,15,3,0,0
2017,115,Adilabad,Neradigonda,424.15,137.7,314.9,93.35,45,47,30,26,17,0,2,0
2017,116,Adilabad,Ichoda,217.25,121.85,339.5,204.35,48,46,28,28,19,0,1,0
2017,117,Adilabad,Sirikonda,325.2,114.1,340,147.3,45,64,13,27,16,2,0,0
2017,118,Adilabad,Utnur,274.7,166.1,365.5,75.15,46,45,31,29,15,2,0,0
2017,201,Komaram Bheem-Asifabad,Jainoor,161.1,134.1,244.4,95.15,41,58,23,27,14,0,0,0
2017,202,Komaram Bheem-Asifabad,Sirpur_U,237.95,154.75,166.65,92.05,43,55,24,30,11,2,0,0
2017,203,Komaram Bheem-Asifabad,Lingapur,280.2,152.1,148.8,58.8,39,73,10,24,15,0,0,0
2017,204,Komaram Bheem-Asifabad,Tiryani,411.5,96.25,197.15,113.35,42,50,30,27,13,2,0,0
2017,205,Komaram Bheem-Asifabad,Rebbana,63.5,147.14,146.02,69.76,37,55,30,30,7,0,0,0
2017,206,Komaram Bheem-Asifabad,Asifabad,174,130.15,300.25,86.5,37,43,42,21,15,1,0,0
2017,207,Komaram Bheem-Asifabad,Kerameri,211.35,113.15,169.05,144.15,36,65,21,23,12,1,0,0
2017,208,Komaram Bheem-Asifabad,Wankdi,140.4,135.5,166.4,45.35,29,51,42,16,13,0,0,0
2017,209,Komaram Bheem-Asifabad,Kagaznagar,128.05,180.65,258.9,79.05,37,63,22,21,16,0,0,0
2017,210,Komaram Bheem-Asifabad,Sirpur_T,136.01,247.65,142.26,99.33,38,52,32,24,14,0,0,0
2017,211,Komaram Bheem-Asifabad,Kouthala,92.4,299.35,176.6,50.65,35,57,30,24,9,2,0,0
2017,212,Komaram Bheem-Asifabad,Chintalamanepally,74.8,279.4,152.4,105.3,41,45,36,28,13,0,0,0
2017,213,Komaram Bheem-Asifabad,Bejjur,125.35,348,275.9,133.45,41,59,22,18,22,1,0,0
2017,214,Komaram Bheem-Asifabad,Penchikalpet,118.2,257.2,258,106.4,45,56,21,24,21,0,0,0
2017,215,Komaram Bheem-Asifabad,Dahegaon,120.95,233.9,236.65,113.55,36,68,18,21,14,1,0,0
2017,301,Mancherial,Jannaram,349.4,81.35,261.6,85.4,38,55,29,25,11,1,1,0
2017,302,Mancherial,Dandepalle,366.72,88.34,207.33,23.83,29,64,29,15,11,3,0,0
2017,303,Mancherial,Luxettipet,281.9,108,185,38.65,34,60,28,25,8,0,1,0
2017,304,Mancherial,Hajipur,226.6,112.8,127.55,92,35,79,8,23,12,0,0,0
2017,305,Mancherial,Kasipet,77.8,98.8,191.95,142.55,34,61,27,22,12,0,0,0
2017,306,Mancherial,Tandur,109.52,107.04,113.43,129.36,36,61,25,26,10,0,0,0
2017,307,Mancherial,Bheemini,242.05,164.8,195.8,119.2,35,75,12,17,17,1,0,0
2017,308,Mancherial,Kannepalli,155.8,187.6,164.6,120.25,33,61,28,16,17,0,0,0
2017,309,Mancherial,Vemanpalle,128.15,309.2,198.2,62.7,41,50,31,27,13,1,0,0
2017,310,Mancherial,Nennal,106.1,209.2,317.25,87.8,36,52,34,19,16,1,0,0
2017,311,Mancherial,Bellampalle,117.15,149.25,188,120.05,36,59,27,22,14,0,0,0
2017,312,Mancherial,Mandamarri,117.2,139.85,192.75,108.5,41,58,23,29,12,0,0,0
2017,313,Mancherial,Mancherial,175.4,115.3,161.95,148.55,37,60,25,24,13,0,0,0
2017,314,Mancherial,Naspur,162.4,133,187.8,95.2,37,52,33,24,13,0,0,0
2017,315,Mancherial,Jaipur,236.33,167.05,253.65,45.8,42,52,28,27,14,1,0,0
2017,316,Mancherial,Bhimaram,151.3,138.3,212.2,37,33,70,19,19,14,0,0,0
2017,317,Mancherial,Chennur,74.45,159.05,294.5,81.95,37,45,40,24,12,1,0,0
2017,318,Mancherial,Kotapalle,103.44,243.17,367.98,58.74,43,41,38,27,15,1,0,0
2017,401,Nirmal,Kubeer,170.2,130.5,209.65,50.6,37,67,18,29,7,1,0,0
2017,402,Nirmal,Tanur,152.2,135.8,318.5,79.2,37,55,30,28,8,0,1,0
2017,403,Nirmal,Basar,208.2,137.6,312,49.2,40,58,24,30,9,0,1,0
2017,404,Nirmal,Mudhole,223.78,132.69,265.35,37.87,34,47,41,26,7,0,1,0
2017,405,Nirmal,Bhainsa,198.25,86.95,418.35,158.25,37,51,34,24,11,1,0,1
2017,406,Nirmal,Kuntala,280.95,108.15,371.55,162.05,34,62,26,21,10,0,2,1
2017,407,Nirmal,Narsapur_G,290,145.8,228.6,65.7,31,80,11,17,12,1,1,0
2017,408,Nirmal,Lokeswaram,216.78,116.99,280.95,92.93,32,66,24,19,11,1,1,0
2017,409,Nirmal,Dilawarpur,285.5,146.2,302.65,50.8,37,64,21,21,14,2,0,0
2017,410,Nirmal,Sarangapur,202.8,95.85,307.3,124.25,37,60,25,22,14,0,1,0
2017,411,Nirmal,Nirmal,178.73,82.02,193.01,63.47,32,61,29,20,12,0,0,0
2017,412,Nirmal,Nirmal_Rural,198.15,106.65,180.7,47,37,53,32,25,11,1,0,0
2017,413,Nirmal,Soan,301.5,230.2,251.7,120.3,42,58,22,22,19,1,0,0
2017,414,Nirmal,Laxmanchanda,185,113.65,199.1,49.35,36,55,31,27,9,0,0,0
2017,415,Nirmal,Mamda,200.2,105.68,201.77,60.27,41,35,46,31,10,0,0,0
2017,416,Nirmal,Pembi,198.2,104.8,371,125.9,40,59,23,26,13,0,1,0
2017,417,Nirmal,Khanpur,158.83,117.32,329.82,41.64,39,53,30,24,14,1,0,0
2017,418,Nirmal,Kaddampeddur,211.3,84.04,245.02,130.54,38,51,33,23,15,0,0,0
2017,419,Nirmal,Dastuarabad,200.1,84.1,252.2,56.6,33,69,20,20,12,1,0,0
2017,501,Nizamabad,Navipet,260,187,333.55,30.2,40,67,15,25,13,1,1,0
2017,502,Nizamabad,Nandipet,110.1,127.6,223.35,37.49,34,54,34,25,8,1,0,0
2017,503,Nizamabad,Armur,105.33,161.81,150.78,34.18,40,37,45,35,5,0,0,0
2017,504,Nizamabad,Balkonda,92.4,152.95,174.15,169.7,34,71,17,20,14,0,0,0
2017,505,Nizamabad,Mupkal,101.7,163.2,127.5,147.7,36,73,13,27,9,0,0,0
2017,506,Nizamabad,Mendora,285.7,178.4,194.6,180,46,57,19,29,16,1,0,0
2017,507,Nizamabad,Yergatla,110,169.6,112.6,65.7,35,79,8,26,9,0,0,0
2017,508,Nizamabad,Kammarpalle,143.45,133.55,156.75,51,37,50,35,27,10,0,0,0
2017,509,Nizamabad,Mortad,115.45,167.9,132.65,63.25,36,66,20,27,9,0,0,0
2017,510,Nizamabad,Vailpur,236.15,148.7,124.15,49.6,39,62,21,26,12,1,0,0
2017,511,Nizamabad,Jakranpalle,158.9,137.45,188.7,83.05,34,70,18,23,10,1,0,0
2017,512,Nizamabad,Makloor,213.9,166.65,316.15,49.35,41,58,23,28,12,1,0,0
2017,513,Nizamabad,Nizamabad_North,139.3,125.75,262.25,78.15,34,61,27,24,8,2,0,0
2017,514,Nizamabad,Yeda_Palle,173.3,95.91,325.55,67.96,41,43,38,31,7,3,0,0
2017,515,Nizamabad,Ranjal,247.65,154.3,428.7,26.55,36,52,34,20,15,0,1,0
2017,516,Nizamabad,Bodhan,215.71,169.12,282.14,55.07,40,42,40,27,12,0,1,0
2017,517,Nizamabad,Kotgiri,248.45,106.95,240.6,122.45,42,56,24,26,15,0,1,0
2017,518,Nizamabad,Rudrur,225.8,127,301.8,151.5,45,40,37,31,13,0,1,0
2017,519,Nizamabad,Varni,170.95,127.45,359.4,117.9,39,52,31,26,11,1,1,0
2017,520,Nizamabad,Nizamabad_Rural,142.7,128.7,264.2,39,36,71,15,26,8,2,0,0
2017,521,Nizamabad,Nizamabad_South,148.5,133.15,304,76.25,38,68,16,26,10,2,0,0
2017,522,Nizamabad,Mugpal,157.9,124.6,221.7,54.2,31,75,16,20,9,2,0,0
2017,523,Nizamabad,Dichpalle,153,119.23,240.55,74.03,28,59,35,18,8,2,0,0
2017,524,Nizamabad,Indalwai,224.7,147.6,202.4,57.5,38,46,38,25,11,2,0,0
2017,525,Nizamabad,Dharpalle,196.4,95.7,120.75,27.75,36,67,19,30,5,1,0,0
2017,526,Nizamabad,Bheemgal,193.8,155.1,145.3,31.1,40,70,12,32,8,0,0,0
2017,527,Nizamabad,Sirkonda,183.63,152.35,145.83,41.08,39,46,37,30,8,1,0,0
2017,601,Jagtial,Ibrahimpatnam,142,233.5,246.4,69.55,39,62,21,21,17,1,0,0
2017,602,Jagtial,Mallapur,110.05,159.6,284.15,34,35,64,23,21,14,0,0,0
2017,603,Jagtial,Raikal,174.3,141.85,270.87,41.5,35,49,38,19,15,1,0,0
2017,604,Jagtial,Beerpur,264.5,122.7,284.2,16.9,33,67,22,19,13,0,1,0
2017,605,Jagtial,Sarangapur,310.7,113.4,261.4,11.7,31,68,23,16,14,1,0,0
2017,606,Jagtial,Dharmapuri,154.89,98.92,282.13,48.03,34,53,35,21,13,0,0,0
2017,607,Jagtial,Buggaram,181.8,95,218.2,20.9,35,70,17,25,10,0,0,0
2017,608,Jagtial,Jagityal_Rural,172,116.8,191,8.1,34,78,10,24,10,0,0,0
2017,609,Jagtial,Jagtial,228.7,113.35,166.95,8.8,35,75,12,26,8,1,0,0
2017,610,Jagtial,Medipalle,133.8,116.98,169.54,90.35,40,39,43,28,12,0,0,0
2017,611,Jagtial,Koratla,176.95,122.4,238.5,44.09,34,79,9,25,7,1,1,0
2017,612,Jagtial,Metpalle,143.72,160.99,191.32,22.76,35,63,24,26,8,1,0,0
2017,613,Jagtial,Kathlapur,156.15,108.3,136.8,45.3,25,64,33,14,10,1,0,0
2017,614,Jagtial,Kodimial,124.18,92.08,114.94,35.7,31,54,37,22,9,0,0,0
2017,615,Jagtial,Malial,170.92,88.93,147.32,32.83,36,49,37,30,6,0,0,0
2017,616,Jagtial,Pegadapalle,121.35,101.35,96.95,13.35,25,66,31,16,9,0,0,0
2017,617,Jagtial,Gollapalle,234.8,91.8,167.45,24.1,34,72,16,25,8,1,0,0
2017,618,Jagtial,Velgatoor,223.37,124.48,222.08,44.8,39,56,27,28,9,2,0,0
2017,701,Peddapalli,Dharmaram,141.4,111.9,144.3,8.8,35,59,28,27,8,0,0,0
2017,702,Peddapalli,Palakurthy,116,112.95,100.95,61.45,28,37,57,20,8,0,0,0
2017,703,Peddapalli,Antargoan,198.2,108.6,80,43.6,25,87,10,15,9,1,0,0
2017,704,Peddapalli,Ramagundam,237.85,139.52,91.29,73.51,39,40,43,29,9,1,0,0
2017,705,Peddapalli,Ramagiri,283.9,129.3,101.9,93.2,41,69,12,28,13,0,0,0
2017,706,Peddapalli,Kamanpur,293.8,138.95,112.7,105.25,36,60,26,24,10,2,0,0
2017,707,Peddapalli,Peddapalle,180.88,92.92,191.5,43.28,32,43,47,20,12,0,0,0
2017,708,Peddapalli,Julapalle,245.9,128.7,154.15,47.05,27,73,22,15,11,1,0,0
2017,709,Peddapalli,Elgaid,175.65,201.75,119.25,61.7,36,58,28,23,13,0,0,0
2017,710,Peddapalli,Sultanabad,244.01,184,148.75,77.98,35,70,17,17,18,0,0,0
2017,711,Peddapalli,Odela,268.9,159.2,147.05,64.3,37,59,26,22,15,0,0,0
2017,712,Peddapalli,Srirampur,177.42,155.3,214.97,59.72,37,42,43,22,15,0,0,0
2017,713,Peddapalli,Mutharam_Manthani,202.5,100.65,198.95,46.55,35,55,32,21,14,0,0,0
2017,714,Peddapalli,Manthani,182.45,207.22,151.02,30.69,42,51,29,32,9,1,0,0
2017,801,Jayashankar-Bhupalpally,Mahadevpur,118.04,238.94,225.17,88.59,41,47,34,25,16,0,0,0
2017,802,Jayashankar-Bhupalpally,Palmela,140.2,233.2,212.8,63.9,34,83,5,16,17,1,0,0
2017,803,Jayashankar-Bhupalpally,Mutharam_Mahadevpur,233.35,199.65,272.05,93.15,42,71,9,18,24,0,0,0
2017,804,Jayashankar-Bhupalpally,Kataram,108.12,228.27,215.48,102.17,45,48,29,31,14,0,0,0
2017,805,Jayashankar-Bhupalpally,Malharrao,73.69,198.73,214,63.64,36,73,13,24,12,0,0,0
2017,806,Jayashankar-Bhupalpally,Chityal,185.1,189.1,277.05,131.65,47,60,15,30,16,1,0,0
2017,807,Jayashankar-Bhupalpally,Tekumatla,210.6,182.8,220.9,121.3,43,56,23,26,17,0,0,0
2017,808,Jayashankar-Bhupalpally,Mogullapalle,232.6,174.75,208.25,95,41,62,19,25,15,1,0,0
2017,809,Jayashankar-Bhupalpally,Regonda,197.15,207.25,257.1,126.3,37,73,12,21,15,1,0,0
2017,810,Jayashankar-Bhupalpally,Ghanapur_Mulug,245.7,220.6,285.9,127,51,48,23,29,22,0,0,0
2017,811,Jayashankar-Bhupalpally,Bhupalpalle,307.4,199.4,243.65,134.8,48,57,17,26,22,0,0,0
2017,812,Jayashankar-Bhupalpally,Venkatapur,399.21,217.93,416.04,168.18,44,43,35,18,24,1,1,0
2017,813,Jayashankar-Bhupalpally,Mulug,225.94,165.5,222.9,92.4,48,39,35,33,14,1,0,0
2017,814,Jayashankar-Bhupalpally,Govindaraopet,212.8,228.65,380.55,121.45,47,56,19,29,16,1,1,0
2017,815,Jayashankar-Bhupalpally,Tadvai,249.1,237.85,263.8,177.2,49,55,18,26,22,1,0,0
2017,816,Jayashankar-Bhupalpally,Eturunagaram,210.25,209.2,268,85.2,45,59,18,27,17,1,0,0
2017,817,Jayashankar-Bhupalpally,Kannaigudem,203.6,207.6,305.3,84.5,41,73,8,23,17,1,0,0
2017,818,Jayashankar-Bhupalpally,Wazeed,220.25,308.23,334.02,97.33,48,53,21,27,20,1,0,0
2017,819,Jayashankar-Bhupalpally,Venkatapuram,257.83,248.9,321.94,43.86,50,54,18,30,20,0,0,0
2017,820,Jayashankar-Bhupalpally,Mangapet,310.93,255.64,358.39,102.04,54,29,39,27,27,0,0,0
2017,901,Bhadradri-Kothagudem,Karakagudem,318,265.6,223.2,77.2,41,68,13,22,17,2,0,0
2017,902,Bhadradri-Kothagudem,Pinapaka,348.25,263.2,232.7,138.4,48,59,15,28,18,2,0,0
2017,903,Bhadradri-Kothagudem,Cherla,408.8,292.35,315.4,94.85,52,55,15,24,25,3,0,0
2017,904,Bhadradri-Kothagudem,Dummugudem,337.75,199.5,400.45,85.85,50,54,18,25,23,2,0,0
2017,905,Bhadradri-Kothagudem,Aswapuram,280.85,147.75,356.1,101.05,48,50,24,28,19,1,0,0
2017,906,Bhadradri-Kothagudem,Manuguru,362.4,223.35,277.65,55.85,49,49,24,27,21,1,0,0
2017,907,Bhadradri-Kothagudem,Allapalli,211.3,161,196.9,72.8,33,71,18,20,12,1,0,0
2017,908,Bhadradri-Kothagudem,Gundala,313.8,170.3,260.75,92.4,48,53,21,29,18,1,0,0
2017,909,Bhadradri-Kothagudem,Yellandu,192.85,231.5,239.6,78.9,48,49,25,29,19,0,0,0
2017,910,Bhadradri-Kothagudem,Tekulapalle,275.6,218.3,204.65,116,41,51,30,21,20,0,0,0
2017,911,Bhadradri-Kothagudem,Julurpad,291.2,225.35,227.8,95.8,43,56,23,21,21,1,0,0
2017,912,Bhadradri-Kothagudem,Chandrugonda,207.85,224.5,268.1,97.4,47,54,21,30,17,0,0,0
2017,913,Bhadradri-Kothagudem,Annapureddipalle,473.7,241.1,343.2,106.9,41,49,32,18,20,3,0,0
2017,914,Bhadradri-Kothagudem,Chunchupally,303.8,295.9,266.1,27.9,42,54,26,24,15,3,0,0
2017,915,Bhadradri-Kothagudem,Sujathanagar,268.6,234.7,202.9,52.4,43,55,24,28,15,0,0,0
2017,916,Bhadradri-Kothagudem,Kothagudem,350.95,243.9,265.55,84.8,45,52,25,25,19,1,0,0
2017,917,Bhadradri-Kothagudem,Laxmidevipalli,263.5,215.8,249.4,76,38,74,10,18,20,0,0,0
2017,918,Bhadradri-Kothagudem,Palawancha,301.8,254.7,300.6,72.65,47,53,22,27,19,1,0,0
2017,919,Bhadradri-Kothagudem,Burgampadu,425.9,331.9,260.3,281.15,49,54,19,24,22,1,2,0
2017,920,Bhadradri-Kothagudem,Bhadrachalam,245.62,317.31,265.27,136.69,49,39,34,27,21,1,0,0
2017,921,Bhadradri-Kothagudem,Mulakalapalle,294.45,253.95,271.75,100.55,42,51,29,25,15,1,1,0
2017,922,Bhadradri-Kothagudem,Dammapeta,287.25,268.28,296.67,83.63,45,35,42,20,25,0,0,0
2017,923,Bhadradri-Kothagudem,Aswaraopeta,212.77,278.75,207.55,101.5,44,47,31,25,19,0,0,0
2017,1001,Mahabubabad,Kothaguda,294.2,340.3,315.6,142.45,46,60,16,22,22,2,0,0
2017,1002,Mahabubabad,Ganagavaram,261.3,263.9,268.4,187.1,47,58,17,24,21,2,0,0
2017,1003,Mahabubabad,Bayyaram,145.9,193.65,283.55,89.35,43,48,31,29,14,0,0,0
2017,1004,Mahabubabad,Garla,190.2,250.45,281.3,174.9,47,57,18,25,21,1,0,0
2017,1005,Mahabubabad,Dornakal,193.28,182.02,185.56,180.81,45,35,42,25,19,1,0,0
2017,1006,Mahabubabad,Kuravi,172.35,189.5,346.5,146.3,47,39,36,28,17,2,0,0
2017,1007,Mahabubabad,Mahabubabad,167.98,247.14,299.7,50.85,49,35,38,30,19,0,0,0
2017,1008,Mahabubabad,Gudur,224.5,225.5,225.75,153.35,50,55,17,30,20,0,0,0
2017,1009,Mahabubabad,Kesamudram,293.35,161.5,236.85,74.4,39,51,32,21,17,1,0,0
2017,1010,Mahabubabad,Nellikudur,152.3,193.6,237,88.4,48,51,23,31,17,0,0,0
2017,1011,Mahabubabad,Narsimhulapet,138.73,167.2,185.58,141.03,39,49,34,23,16,0,0,0
2017,1012,Mahabubabad,Chinnagudur,133.6,167.2,347.3,160.9,44,49,29,27,16,1,0,0
2017,1013,Mahabubabad,Maripeda,226.6,167.45,168.5,195.4,38,49,35,21,15,2,0,0
2017,1014,Mahabubabad,Danthalapalle,154.1,165.8,198.8,102.8,33,77,12,17,15,1,0,0
2017,1015,Mahabubabad,Thorrur,291.3,213.6,291.15,215.15,56,41,25,34,20,2,0,0
2017,1016,Mahabubabad,Peddavangara,185,222.7,203,135.5,33,73,16,15,18,0,0,0
2017,1101,Warangal Rural,Parkal,239.3,185.8,232.25,128.45,44,60,18,24,19,1,0,0
2017,1102,Warangal Rural,Shayampet,237.4,227.9,277.05,166.8,44,53,25,25,18,0,1,0
2017,1103,Warangal Rural,Damera,204.8,186.55,248.6,106,37,56,29,22,14,0,1,0
2017,1104,Warangal Rural,Geesugonda,273.34,200.89,209.38,144.86,40,57,25,22,16,2,0,0
